start_dates,end_dates,glacier_area,region,combined_gt,combined_gt_errors,combined_mwe,combined_mwe_errors
2000.0,2001.0,89349.1603,greenland_periphery,-41.2912682002374,58.14795528438563,-0.4635243868595238,0.6496667371457514
2001.0,2002.0,88613.4809,greenland_periphery,-30.259115172023737,34.40693590362891,-0.3425005468781988,0.3842871129956297
2002.0,2003.0,87877.8015,greenland_periphery,-4.633022444104562,34.04614316389751,-0.0528798314794764,0.3806168114081556
2003.0,2004.0,87142.12210000001,greenland_periphery,21.19402971840975,32.97931816599432,0.2439440607539797,0.3685084528285934
2004.0,2005.0,86406.4427,greenland_periphery,-21.61789893283536,32.04279733381595,-0.2509413314403678,0.3580249460205689
2005.0,2006.0,85670.7633,greenland_periphery,-73.56189179697199,32.43937331644711,-0.8612417898409994,0.3603237111698206
2006.0,2007.0,84935.0839,greenland_periphery,-11.901237733591891,31.784423148203988,-0.1405432046701326,0.3552779938021395
2007.0,2008.0,84199.4045,greenland_periphery,-54.51899453837374,31.52191269045421,-0.6494469170430045,0.351085292767621
2008.0,2009.0,83463.7251,greenland_periphery,-31.569572236755583,31.10083677864067,-0.3793811730380011,0.3472498733233991
2009.0,2010.0,82728.0457,greenland_periphery,-44.34081127000205,31.25895903949679,-0.5375956073372805,0.3485856675493938
2010.0,2011.0,81992.3663,greenland_periphery,-63.50411891699192,31.72351046941193,-0.7768431063146872,0.3528783271181387
2011.0,2012.0,81256.6869,greenland_periphery,-73.61889642826725,30.440425465101285,-0.9087303519054896,0.3378175210506762
2012.0,2013.0,80521.0075,greenland_periphery,-45.04805361014524,30.60922366116791,-0.561140574693076,0.3412741518299132
2013.0,2014.0,79785.3281,greenland_periphery,-37.84487762507106,29.86548229667335,-0.4757610802722418,0.3332162495829455
2014.0,2015.0,79049.6487,greenland_periphery,2.5817383158773253,29.81869955577704,0.0327579803196074,0.3333609525033675
2015.0,2016.0,78313.9693,greenland_periphery,-9.433257622014974,29.670775706494453,-0.1208167921283485,0.3316684179185126
2016.0,2017.0,77578.2899,greenland_periphery,-53.45383656825312,29.42922714128744,-0.6911041823581543,0.3276502727966965
2017.0,2018.0,76842.6105,greenland_periphery,7.709968424686927,29.677298979337728,0.1006364551926869,0.331755268082732
2018.0,2019.0,76106.9311,greenland_periphery,12.001662332086804,30.323396520363502,0.1581692427362111,0.338940048560673
2019.0,2020.0,75371.2517,greenland_periphery,-73.00240051873962,29.982633840146075,-0.971485348423586,0.3327035796072279
2020.0,2021.0,74635.5723,greenland_periphery,-39.04193946889865,30.614652227436416,-0.5246749842643712,0.341566096060466
2021.0,2022.0,73899.8929,greenland_periphery,-52.79326670883994,30.855775976776048,-0.7165385631847668,0.3436936655801365
2022.0,2023.0,73164.2135,greenland_periphery,-46.25762631952477,57.29462709790465,-0.6341463203159325,0.6400145477932303
2023.0,2024.0,72428.5341,greenland_periphery,-86.27339719312873,57.41429456246441,-1.1947362632274197,0.6400603014062028
