# id: GB/NERC/BAS/PDC/02074
# title: Mass balance of the Greenland and Antarctic Ice Sheets from the 1970s to 2023
# summary: This dataset contains rates and cumulative anomalies in surface mass balance, dynamics, and total mass change and their associated uncertainty for the Antarctic Ice Sheet (in its entirety and split into West Antarctica, East Antarctica and the Antarctic Peninsula) for the period 1979 to 2023 and for the Greenland Ice Sheet for the period 1972 to 2023. The data are reconciled estimates of mass balance from three independent satellite-based techniques: altimetry, gravimetry, and the input-output method. This dataset is part of the Ice Sheet Mass Balance Intercomparison Exercise (IMBIE).
# acknowledgement: This work is an outcome of the Ice Sheet Mass Balance Inter-comparison Exercise (IMBIE) supported by ESA EOEP-5 "EO Science for Society" (Contract Number 4000134549/21/I-NB), the ESA "Climate Change Initiative" (Contract Number 4000126813/19/I-NB), and the NASA Cryosphere Program.
# keywords: Antarctica,Earth observation,Greenland,ice sheet,satellite,sea level rise
# citation: Otosaka, I., Shepherd, A., Amory, C., Horwath, M., King, M., Nowicki, S., Payne, A., Rignot, E., Sørensen, L., Schlegel, N., Simon, K., Smith, B., Sutterley, T., van den Broeke, M., Velicogna, I., A, G., Agosta, C., Ditmar, P., Döhne, T., … Wouters, B. (2026). Mass balance of the Greenland and Antarctic Ice Sheets from the 1970s to 2023 (Version 1.0) [Data set]. NERC EDS UK Polar Data Centre. https://doi.org/10.5285/128c5e33-5224-4197-82f0-19dcc95b80a0
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
# history: The data used to produce this reconciled mass balance estimate were gathered in the framework of the IMBIE project. In total, 45 independent satellite estimates of mass change (21 estimates for Antarctica and 24 estimates for Greenland) were used to produce this final dataset. The methodology to aggregate these into a final estimate is described in Otosaka et al. (2026).
# source: IMBIE software v3.1 https://doi.org/10.5281/zenodo.14217193
# comment: The data are reconciled estimates from 45 individual satellite-based surveys derived from the altimetry, gravimetry and input-output techniques. The respective one sigma uncertainties for each reconciled dataset are provided.
# : Each dataset contributed to the IMBIE project was processed independently by their contributors and the methods and errors on their dataset have been documented in an international peer-reviewed journal. A dedicated processor was developed in Python to compute the reconciled mass balance estimate and its uncertainty, and the core code is freely available at https://doi.org/10.5281/zenodo.14217193 (Otosaka, I. N., Gilbert, L., Pattle, M., Roca-Aparici, M., & Shepherd, A. (2024). IMBIE software v3.1. Zenodo).
# institution: Northumbria University
# authors: Inès Otosaka,Andrew Shepherd,Charles Amory,Martin Horwath,Michalea King,Sophie Nowicki,Antony Payne,Eric Rignot,Louise Sandberg Sørensen,Nicole-Jeanne Schlegel,Karen Simon,Benjamin Smith,Tyler Sutterley,Michiel van den Broeke,Isabella Velicogna,Geruo A,Cécile Agosta,Pavel Ditmar,Thorben Döhne,Marcus Engdahl,Xavier Fettweis,Rene Forsberg,Alex Gardner,Linda Gilbert,Heiko Goelzer,Noel Gourmelen,Andreas Groh,Nicolaj Hansen,Christopher Harig,Veit Helm,Shfaqat Khan,Christoph Kittel,Peter Langen,Mathias Larsen,Bryant Loomis,Malcolm McMillan,Brooke Medley,Daniele Melini,Ruth Mottram,Alan Muir,Johan Nilsson,Brice Noël,Mark Pattle,Mònica Roca i Aparici,Ingo Sasgen,Himanshu Save,Bernd Scheuchl,Ernst Schrama,Ludwig Schröder,Ki-Weon Seo,Sebastian Simonsen,Thomas Slater,Giorgio Spada,Bramha Dutt Vishwakarma,Nander Wever,David Wiese,Bert Wouters
# project: IMBIE http://imbie.org/
# publisher_name: NERC EDS UK Polar Data Centre
# publisher_type: institution
# publisher_email: pdc@bas.ac.uk
# publisher_url: https://www.bas.ac.uk/data/uk-pdc/
# time_coverage_start: 1971-07-01
# time_coverage_end: 2023-12-01
# geospatial_lon_min: -80 (degree_east)
# geospatial_lon_max: 10 (degree_east)
# geospatial_lat_min: 60 (degree_north)
# geospatial_lat_max: 90 (degree_north)
# geospatial_bounds_crs: EPSG:4326
# data_type: Greenland mm
Date,Mass balance (mm/yr),Mass balance uncertainty (mm/yr),Cumulative mass balance anomaly (mm),Cumulative mass balance anomaly uncertainty (mm),Surface mass balance anomaly (mm/yr),Surface mass balance anomaly uncertainty (mm/yr),Cumulative surface mass balance anomaly (mm),Cumulative surface mass balance anomaly uncertainty (mm),Dynamics mass balance anomaly (mm/yr),Dynamics mass balance anomaly uncertainty (mm/yr),Cumulative dynamics mass balance anomaly (mm),Cumulative dynamics mass balance anomaly uncertainty (mm)
1971-07-01,0.183184722,0.190486389,0.015265394,0.054988685,-0.367860582,0.215999624,-0.030655049,0.062353722,0.551045304,0.287994622,0.045920442,0.083136888
1971-08-01,0.183184722,0.190486389,0.030530787,0.077765744,-0.367860582,0.215999624,-0.061310097,0.088181479,0.551045304,0.287994622,0.091840884,0.117573314
1971-09-01,0.183184722,0.190486389,0.045796181,0.095243196,-0.367860582,0.215999624,-0.091965146,0.107999814,0.551045304,0.287994622,0.137761326,0.143997313
1971-10-01,0.183184722,0.190486389,0.061061574,0.10997737,-0.367860582,0.215999624,-0.122620194,0.124707444,0.551045304,0.287994622,0.183681768,0.166273775
1971-11-01,0.183184722,0.190486389,0.076326968,0.122958438,-0.367860582,0.215999624,-0.153275243,0.139427161,0.551045304,0.287994622,0.22960221,0.185899732
1971-12-01,0.183184722,0.190486389,0.091592361,0.13469422,-0.367317978,0.216007528,-0.183885074,0.152735733,0.5505027,0.28800055,0.275477435,0.203643652
1972-01-01,0.183184722,0.190486389,0.106857755,0.145486385,0.743596564,0.232189963,-0.121918694,0.166795941,-0.560411842,0.300328559,0.228776448,0.221330464
1972-02-01,0.183184722,0.190486389,0.122123148,0.155531488,0.743596564,0.232189963,-0.059952313,0.17975975,-0.560411842,0.300328559,0.182075461,0.237704883
1972-03-01,0.183184722,0.190486389,0.137388542,0.164966055,0.743596564,0.232189963,0.002014067,0.191849549,-0.560411842,0.300328559,0.135374475,0.253021834
1972-04-01,0.183184722,0.190486389,0.152653935,0.17388949,0.743596564,0.232189963,0.063980447,0.203221385,-0.560411842,0.300328559,0.088673488,0.267463055
1972-05-01,0.183184722,0.190486389,0.167919329,0.182376836,0.743596564,0.232189963,0.125946828,0.213989749,-0.560411842,0.300328559,0.041972501,0.281163517
1972-06-01,0.183184722,0.190486389,0.183184722,0.190486392,0.743596564,0.232189963,0.187913208,0.224241599,-0.560411842,0.300328559,-0.004728486,0.294226716
1972-07-01,0.183184722,0.190486389,0.198450116,0.198264523,0.743596564,0.232189963,0.249879589,0.234044817,-0.560411842,0.300328559,-0.051429473,0.306734083
1972-08-01,0.183184722,0.190486389,0.213715509,0.205748819,0.743596564,0.232189963,0.311845969,0.243453606,-0.560411842,0.300328559,-0.09813046,0.318751054
1972-09-01,0.183184722,0.190486389,0.228980903,0.212970261,0.743596564,0.232189963,0.373812349,0.252512059,-0.560411842,0.300328559,-0.144831446,0.330331155
1972-10-01,0.183184722,0.190486389,0.244246296,0.21995474,0.743596564,0.232189963,0.43577873,0.26125662,-0.560411842,0.300328559,-0.191532433,0.341518827
1972-11-01,0.183184722,0.190486389,0.25951169,0.226724156,0.743596564,0.232189963,0.49774511,0.269717821,-0.560411842,0.300328559,-0.23823342,0.352351453
1972-12-01,0.183184722,0.190486389,0.274777083,0.233297232,0.743294889,0.232171453,0.559686351,0.277920256,-0.560110167,0.300314249,-0.284909267,0.362859845
1973-01-01,0.162585278,0.185734722,0.288325856,0.239379157,0.126105075,0.194303004,0.570195107,0.283523909,0.036480202,0.268795544,-0.281869251,0.37106359
1973-02-01,0.162585278,0.185734722,0.30187463,0.245310341,0.126105075,0.194303004,0.580703863,0.289018936,0.036480202,0.268795544,-0.278829234,0.379089842
1973-03-01,0.162585278,0.185734722,0.315423403,0.251101465,0.126105075,0.194303004,0.59121262,0.294411419,0.036480202,0.268795544,-0.275789217,0.386949646
1973-04-01,0.162585278,0.185734722,0.328972176,0.256762006,0.126105075,0.194303004,0.601721376,0.299706893,0.036480202,0.268795544,-0.2727492,0.394652948
1973-05-01,0.162585278,0.185734722,0.342520949,0.26230042,0.126105075,0.194303004,0.612230132,0.304910413,0.036480202,0.268795544,-0.269709183,0.402208739
1973-06-01,0.162585278,0.185734722,0.356069722,0.267724285,0.126105075,0.194303004,0.622738888,0.310026609,0.036480202,0.268795544,-0.266669166,0.409625183
1973-07-01,0.162585278,0.185734722,0.369618495,0.273040427,0.126105075,0.194303004,0.633247645,0.315059734,0.036480202,0.268795544,-0.263629149,0.416909716
1973-08-01,0.162585278,0.185734722,0.383167269,0.278255022,0.126105075,0.194303004,0.643756401,0.32001371,0.036480202,0.268795544,-0.260589133,0.424069136
1973-09-01,0.162585278,0.185734722,0.396716042,0.283373675,0.126105075,0.194303004,0.654265157,0.324892155,0.036480202,0.268795544,-0.257549116,0.431109676
