# id: GB/NERC/BAS/PDC/02074
# title: Mass balance of the Greenland and Antarctic Ice Sheets from the 1970s to 2023
# summary: This dataset contains rates and cumulative anomalies in surface mass balance, dynamics, and total mass change and their associated uncertainty for the Antarctic Ice Sheet (in its entirety and split into West Antarctica, East Antarctica and the Antarctic Peninsula) for the period 1979 to 2023 and for the Greenland Ice Sheet for the period 1972 to 2023. The data are reconciled estimates of mass balance from three independent satellite-based techniques: altimetry, gravimetry, and the input-output method. This dataset is part of the Ice Sheet Mass Balance Intercomparison Exercise (IMBIE).
# acknowledgement: This work is an outcome of the Ice Sheet Mass Balance Inter-comparison Exercise (IMBIE) supported by ESA EOEP-5 "EO Science for Society" (Contract Number 4000134549/21/I-NB), the ESA "Climate Change Initiative" (Contract Number 4000126813/19/I-NB), and the NASA Cryosphere Program.
# keywords: Antarctica,Earth observation,Greenland,ice sheet,satellite,sea level rise
# citation: Otosaka, I., Shepherd, A., Amory, C., Horwath, M., King, M., Nowicki, S., Payne, A., Rignot, E., Sørensen, L., Schlegel, N., Simon, K., Smith, B., Sutterley, T., van den Broeke, M., Velicogna, I., A, G., Agosta, C., Ditmar, P., Döhne, T., … Wouters, B. (2026). Mass balance of the Greenland and Antarctic Ice Sheets from the 1970s to 2023 (Version 1.0) [Data set]. NERC EDS UK Polar Data Centre. https://doi.org/10.5285/128c5e33-5224-4197-82f0-19dcc95b80a0
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
# history: The data used to produce this reconciled mass balance estimate were gathered in the framework of the IMBIE project. In total, 45 independent satellite estimates of mass change (21 estimates for Antarctica and 24 estimates for Greenland) were used to produce this final dataset. The methodology to aggregate these into a final estimate is described in Otosaka et al. (2026).
# source: IMBIE software v3.1 https://doi.org/10.5281/zenodo.14217193
# comment: The data are reconciled estimates from 45 individual satellite-based surveys derived from the altimetry, gravimetry and input-output techniques. The respective one sigma uncertainties for each reconciled dataset are provided.
# : Each dataset contributed to the IMBIE project was processed independently by their contributors and the methods and errors on their dataset have been documented in an international peer-reviewed journal. A dedicated processor was developed in Python to compute the reconciled mass balance estimate and its uncertainty, and the core code is freely available at https://doi.org/10.5281/zenodo.14217193 (Otosaka, I. N., Gilbert, L., Pattle, M., Roca-Aparici, M., & Shepherd, A. (2024). IMBIE software v3.1. Zenodo).
# institution: Northumbria University
# authors: Inès Otosaka,Andrew Shepherd,Charles Amory,Martin Horwath,Michalea King,Sophie Nowicki,Antony Payne,Eric Rignot,Louise Sandberg Sørensen,Nicole-Jeanne Schlegel,Karen Simon,Benjamin Smith,Tyler Sutterley,Michiel van den Broeke,Isabella Velicogna,Geruo A,Cécile Agosta,Pavel Ditmar,Thorben Döhne,Marcus Engdahl,Xavier Fettweis,Rene Forsberg,Alex Gardner,Linda Gilbert,Heiko Goelzer,Noel Gourmelen,Andreas Groh,Nicolaj Hansen,Christopher Harig,Veit Helm,Shfaqat Khan,Christoph Kittel,Peter Langen,Mathias Larsen,Bryant Loomis,Malcolm McMillan,Brooke Medley,Daniele Melini,Ruth Mottram,Alan Muir,Johan Nilsson,Brice Noël,Mark Pattle,Mònica Roca i Aparici,Ingo Sasgen,Himanshu Save,Bernd Scheuchl,Ernst Schrama,Ludwig Schröder,Ki-Weon Seo,Sebastian Simonsen,Thomas Slater,Giorgio Spada,Bramha Dutt Vishwakarma,Nander Wever,David Wiese,Bert Wouters
# project: IMBIE http://imbie.org/
# publisher_name: NERC EDS UK Polar Data Centre
# publisher_type: institution
# publisher_email: pdc@bas.ac.uk
# publisher_url: https://www.bas.ac.uk/data/uk-pdc/
# time_coverage_start: 1979-01-01
# time_coverage_end: 2023-12-01
# geospatial_lon_min: -180 (degree_east)
# geospatial_lon_max: 180 (degree_east)
# geospatial_lat_min: -90 (degree_north)
# geospatial_lat_max: -60 (degree_north)
# geospatial_bounds_crs: EPSG:4326
# data_type: West Antarctica mm
Date,Mass balance (mm/yr),Mass balance uncertainty (mm/yr),Cumulative mass balance anomaly (mm),Cumulative mass balance anomaly uncertainty (mm),Surface mass balance anomaly (mm/yr),Surface mass balance anomaly uncertainty (mm/yr),Cumulative surface mass balance anomaly (mm),Cumulative surface mass balance anomaly uncertainty (mm),Dynamics mass balance anomaly (mm/yr),Dynamics mass balance anomaly uncertainty (mm/yr),Cumulative dynamics mass balance anomaly (mm),Cumulative dynamics mass balance anomaly uncertainty (mm)
1979-01-01,-0.045509167,0.134958889,-0.0037925,0.038959167,0.185568068,0.031844576,0.015464006,0.009192737,-0.231077234,0.138664987,-0.019256436,0.040029135
1979-02-01,-0.045509167,0.134958889,-0.007585,0.055096667,0.185568068,0.031844576,0.030928011,0.013000494,-0.231077234,0.138664987,-0.038512872,0.056609745
1979-03-01,-0.045509167,0.134958889,-0.011377222,0.067479444,0.185568068,0.031844576,0.046392017,0.015922288,-0.231077234,0.138664987,-0.057769309,0.069332495
1979-04-01,-0.045509167,0.134958889,-0.015169722,0.077918611,0.185568068,0.031844576,0.061856023,0.018385475,-0.231077234,0.138664987,-0.077025745,0.080058269
1979-05-01,-0.045509167,0.134958889,-0.018962222,0.087115556,0.185568068,0.031844576,0.077320028,0.020555586,-0.231077234,0.138664987,-0.096282181,0.089507866
1979-06-01,-0.045509167,0.134958889,-0.022754722,0.095430278,0.185568068,0.031844576,0.092784034,0.022517516,-0.231077234,0.138664987,-0.115538617,0.098050955
1979-07-01,-0.045509167,0.134958889,-0.026547222,0.103076667,0.185568068,0.031844576,0.10824804,0.024321697,-0.231077234,0.138664987,-0.134795053,0.105907135
1979-08-01,-0.045509167,0.134958889,-0.030339444,0.110193611,0.185568068,0.031844576,0.123712045,0.026000988,-0.231077234,0.138664987,-0.15405149,0.11321949
1979-09-01,-0.045509167,0.134958889,-0.034131944,0.116877778,0.185568068,0.031844576,0.139176051,0.027578212,-0.231077234,0.138664987,-0.173307926,0.120087404
1979-10-01,-0.045509167,0.134958889,-0.037924444,0.1232,0.185568068,0.031844576,0.154640056,0.029069988,-0.231077234,0.138664987,-0.192564362,0.126583238
1979-11-01,-0.045509167,0.134958889,-0.041716944,0.129213333,0.185568068,0.031844576,0.170104062,0.030488861,-0.231077234,0.138664987,-0.211820798,0.13276162
1979-12-01,-0.045509167,0.134958889,-0.045509167,0.134958889,0.185568068,0.031844576,0.185568068,0.031844577,-0.231077234,0.138664987,-0.231077234,0.13866499
1980-01-01,0.027915,0.065678611,-0.043183056,0.136284167,0.185568068,0.031844576,0.201032073,0.033144886,-0.157653068,0.072991486,-0.24421499,0.140256762
1980-02-01,0.027915,0.065678611,-0.040856667,0.137596667,0.185568068,0.031844576,0.216496079,0.034396074,-0.157653068,0.072991486,-0.257352746,0.14183067
1980-03-01,0.027915,0.065678611,-0.038530556,0.138896944,0.185568068,0.031844576,0.231960085,0.035603319,-0.157653068,0.072991486,-0.270490501,0.143387303
1980-04-01,0.027915,0.065678611,-0.036204167,0.140185,0.185568068,0.031844576,0.24742409,0.03677095,-0.157653068,0.072991486,-0.283628257,0.144927218
1980-05-01,0.027915,0.065678611,-0.033878056,0.141461389,0.185568068,0.031844576,0.262888096,0.037902628,-0.157653068,0.072991486,-0.296766013,0.146450941
1980-06-01,0.027915,0.065678611,-0.031551667,0.142726111,0.185568068,0.031844576,0.278352102,0.039001482,-0.157653068,0.072991486,-0.309903768,0.147958974
1980-07-01,0.027915,0.065678611,-0.029225556,0.14398,0.185568068,0.031844576,0.293816107,0.040070214,-0.157653068,0.072991486,-0.323041524,0.149451791
1980-08-01,0.027915,0.065678611,-0.026899167,0.145223056,0.185568068,0.031844576,0.309280113,0.041111172,-0.157653068,0.072991486,-0.33617928,0.150929843
1980-09-01,0.027915,0.065678611,-0.024573056,0.146455278,0.185568068,0.031844576,0.324744119,0.042126415,-0.157653068,0.072991486,-0.349317035,0.152393561
1980-10-01,0.027915,0.065678611,-0.022246667,0.1476775,0.185568068,0.031844576,0.340208124,0.043117761,-0.157653068,0.072991486,-0.362454791,0.153843352
1980-11-01,0.027915,0.065678611,-0.019920556,0.148889722,0.185568068,0.031844576,0.35567213,0.04408682,-0.157653068,0.072991486,-0.375592547,0.155279609
1980-12-01,0.027915,0.065678611,-0.017594167,0.150091944,0.185421649,0.031841886,0.371123934,0.045034874,-0.157506649,0.072990312,-0.388718101,0.156702656
1981-01-01,-0.062518889,0.058664444,-0.022804167,0.151044444,0.020653619,0.02881475,0.372845069,0.045796623,-0.083172508,0.065359061,-0.395649143,0.157834427
1981-02-01,-0.062518889,0.058664444,-0.028014167,0.151990833,0.020653619,0.02881475,0.374566204,0.046545908,-0.083172508,0.065359061,-0.402580185,0.15895814
