# id: GB/NERC/BAS/PDC/02074
# title: Mass balance of the Greenland and Antarctic Ice Sheets from the 1970s to 2023
# summary: This dataset contains rates and cumulative anomalies in surface mass balance, dynamics, and total mass change and their associated uncertainty for the Antarctic Ice Sheet (in its entirety and split into West Antarctica, East Antarctica and the Antarctic Peninsula) for the period 1979 to 2023 and for the Greenland Ice Sheet for the period 1972 to 2023. The data are reconciled estimates of mass balance from three independent satellite-based techniques: altimetry, gravimetry, and the input-output method. This dataset is part of the Ice Sheet Mass Balance Intercomparison Exercise (IMBIE).
# acknowledgement: This work is an outcome of the Ice Sheet Mass Balance Inter-comparison Exercise (IMBIE) supported by ESA EOEP-5 "EO Science for Society" (Contract Number 4000134549/21/I-NB), the ESA "Climate Change Initiative" (Contract Number 4000126813/19/I-NB), and the NASA Cryosphere Program.
# keywords: Antarctica,Earth observation,Greenland,ice sheet,satellite,sea level rise
# citation: Otosaka, I., Shepherd, A., Amory, C., Horwath, M., King, M., Nowicki, S., Payne, A., Rignot, E., Sørensen, L., Schlegel, N., Simon, K., Smith, B., Sutterley, T., van den Broeke, M., Velicogna, I., A, G., Agosta, C., Ditmar, P., Döhne, T., … Wouters, B. (2026). Mass balance of the Greenland and Antarctic Ice Sheets from the 1970s to 2023 (Version 1.0) [Data set]. NERC EDS UK Polar Data Centre. https://doi.org/10.5285/128c5e33-5224-4197-82f0-19dcc95b80a0
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
# history: The data used to produce this reconciled mass balance estimate were gathered in the framework of the IMBIE project. In total, 45 independent satellite estimates of mass change (21 estimates for Antarctica and 24 estimates for Greenland) were used to produce this final dataset. The methodology to aggregate these into a final estimate is described in Otosaka et al. (2026).
# source: IMBIE software v3.1 https://doi.org/10.5281/zenodo.14217193
# comment: The data are reconciled estimates from 45 individual satellite-based surveys derived from the altimetry, gravimetry and input-output techniques. The respective one sigma uncertainties for each reconciled dataset are provided.
# : Each dataset contributed to the IMBIE project was processed independently by their contributors and the methods and errors on their dataset have been documented in an international peer-reviewed journal. A dedicated processor was developed in Python to compute the reconciled mass balance estimate and its uncertainty, and the core code is freely available at https://doi.org/10.5281/zenodo.14217193 (Otosaka, I. N., Gilbert, L., Pattle, M., Roca-Aparici, M., & Shepherd, A. (2024). IMBIE software v3.1. Zenodo).
# institution: Northumbria University
# authors: Inès Otosaka,Andrew Shepherd,Charles Amory,Martin Horwath,Michalea King,Sophie Nowicki,Antony Payne,Eric Rignot,Louise Sandberg Sørensen,Nicole-Jeanne Schlegel,Karen Simon,Benjamin Smith,Tyler Sutterley,Michiel van den Broeke,Isabella Velicogna,Geruo A,Cécile Agosta,Pavel Ditmar,Thorben Döhne,Marcus Engdahl,Xavier Fettweis,Rene Forsberg,Alex Gardner,Linda Gilbert,Heiko Goelzer,Noel Gourmelen,Andreas Groh,Nicolaj Hansen,Christopher Harig,Veit Helm,Shfaqat Khan,Christoph Kittel,Peter Langen,Mathias Larsen,Bryant Loomis,Malcolm McMillan,Brooke Medley,Daniele Melini,Ruth Mottram,Alan Muir,Johan Nilsson,Brice Noël,Mark Pattle,Mònica Roca i Aparici,Ingo Sasgen,Himanshu Save,Bernd Scheuchl,Ernst Schrama,Ludwig Schröder,Ki-Weon Seo,Sebastian Simonsen,Thomas Slater,Giorgio Spada,Bramha Dutt Vishwakarma,Nander Wever,David Wiese,Bert Wouters
# project: IMBIE http://imbie.org/
# publisher_name: NERC EDS UK Polar Data Centre
# publisher_type: institution
# publisher_email: pdc@bas.ac.uk
# publisher_url: https://www.bas.ac.uk/data/uk-pdc/
# time_coverage_start: 1979-01-01
# time_coverage_end: 2023-12-01
# geospatial_lon_min: -180 (degree_east)
# geospatial_lon_max: 180 (degree_east)
# geospatial_lat_min: -90 (degree_north)
# geospatial_lat_max: -60 (degree_north)
# geospatial_bounds_crs: EPSG:4326
# data_type: Antarctica Gt
Date,Mass balance (Gt/yr),Mass balance uncertainty (Gt/yr),Cumulative mass balance anomaly (Gt),Cumulative mass balance anomaly uncertainty (Gt),Surface mass balance anomaly (Gt/yr),Surface mass balance anomaly uncertainty (Gt/yr),Cumulative surface mass balance anomaly (Gt),Cumulative surface mass balance anomaly uncertainty (Gt),Dynamics mass balance anomaly (Gt/yr),Dynamics mass balance anomaly uncertainty (Gt/yr),Cumulative dynamics mass balance anomaly (Gt),Cumulative dynamics mass balance anomaly uncertainty (Gt)
1979-01-01,-56.4145,96.8361,-4.7012,27.9542,74.72509766,42.3211174,6.227091471,12.21705448,-131.1395977,105.6802122,-10.9282998,30.50725002
1979-02-01,-56.4145,96.8361,-9.4024,39.5332,74.72509766,42.3211174,12.45418294,17.27752414,-131.1395977,105.6802122,-21.85659961,43.14376672
1979-03-01,-56.4145,96.8361,-14.1036,48.418,74.72509766,42.3211174,18.68127441,21.16055908,-131.1395977,105.6802122,-32.78489941,52.84010703
1979-04-01,-56.4145,96.8361,-18.8048,55.9083,74.72509766,42.3211174,24.90836589,24.43410896,-131.1395977,105.6802122,-43.71319922,61.01450003
1979-05-01,-56.4145,96.8361,-23.506,62.5074,74.72509766,42.3211174,31.13545736,27.3181643,-131.1395977,105.6802122,-54.64149902,68.21628484
1979-06-01,-56.4145,96.8361,-28.2072,68.4734,74.72509766,42.3211174,37.36254883,29.92554964,-131.1395977,105.6802122,-65.56979883,74.72719599
1979-07-01,-56.4145,96.8361,-32.9084,73.9598,74.72509766,42.3211174,43.5896403,32.32328791,-131.1395977,105.6802122,-76.49809863,80.71459673
1979-08-01,-56.4145,96.8361,-37.6096,79.0663,74.72509766,42.3211174,49.81673177,34.55504828,-131.1395977,105.6802122,-87.42639844,86.28753345
1979-09-01,-56.4145,96.8361,-42.3108,83.8625,74.72509766,42.3211174,56.04382324,36.65116344,-131.1395977,105.6802122,-98.35469824,91.52175005
1979-10-01,-56.4145,96.8361,-47.0121,88.3988,74.72509766,42.3211174,62.27091471,38.63371846,-131.1395977,105.6802122,-109.282998,96.4723952
1979-11-01,-56.4145,96.8361,-51.7133,92.7135,74.72509766,42.3211174,68.49800618,40.51938576,-131.1395977,105.6802122,-120.2112979,101.1811017
1979-12-01,-56.4145,96.8361,-56.4145,96.8361,74.72509766,42.3211174,74.72509766,42.32111816,-131.1395977,105.6802122,-131.1395977,105.6802141
1980-01-01,-22.279,47.1297,-58.271,97.7871,74.72509766,42.3211174,80.95218913,44.04921637,-97.00409766,63.34260494,-139.2232725,107.2504769
1980-02-01,-22.279,47.1297,-60.1276,98.7291,74.72509766,42.3211174,87.1792806,45.71203214,-97.00409766,63.34260494,-147.3069473,108.7980787
1980-03-01,-22.279,47.1297,-61.9842,99.6621,74.72509766,42.3211174,93.40637207,47.31644855,-97.00409766,63.34260494,-155.3906221,110.3239733
1980-04-01,-22.279,47.1297,-63.8408,100.5864,74.72509766,42.3211174,99.63346354,48.86821792,-97.00409766,63.34260494,-163.4742969,111.8290491
1980-05-01,-22.279,47.1297,-65.6974,101.5024,74.72509766,42.3211174,105.860555,50.37220606,-97.00409766,63.34260494,-171.5579717,113.3141358
1980-06-01,-22.279,47.1297,-67.554,102.4101,74.72509766,42.3211174,112.0876465,51.83257242,-97.00409766,63.34260494,-179.6416465,114.7800092
1980-07-01,-22.279,47.1297,-69.4106,103.3099,74.72509766,42.3211174,118.314738,53.25290587,-97.00409766,63.34260494,-187.7253213,116.2273963
1980-08-01,-22.279,47.1297,-71.2672,104.2019,74.72509766,42.3211174,124.5418294,54.63632861,-97.00409766,63.34260494,-195.8089961,117.6569794
1980-09-01,-22.279,47.1297,-73.1237,105.0863,74.72509766,42.3211174,130.7689209,55.98557693,-97.00409766,63.34260494,-203.8926709,119.0693997
1980-10-01,-22.279,47.1297,-74.9803,105.9633,74.72509766,42.3211174,136.9960124,57.30306488,-97.00409766,63.34260494,-211.9763457,120.4652609
1980-11-01,-22.279,47.1297,-76.8369,106.8332,74.72509766,42.3211174,143.2231038,58.590935,-97.00409766,63.34260494,-220.0600205,121.8451322
1980-12-01,-22.279,47.1297,-78.6935,107.696,74.82607603,42.32240546,149.4586102,59.85117518,-97.10507603,63.34346554,-228.1521102,123.2095876
1981-01-01,-0.0209,41.8076,-78.6952,108.3701,188.4589844,43.77188492,165.1635255,61.17048309,-188.4798844,60.52977224,-243.8587672,124.4424509
1981-02-01,-0.0209,41.8076,-78.697,109.0401,188.4589844,43.77188492,180.8684409,62.46193107,-188.4798844,60.52977224,-259.5654242,125.6632194
1981-03-01,-0.0209,41.8076,-78.6987,109.706,188.4589844,43.77188492,196.5733563,63.72721291,-188.4798844,60.52977224,-275.2720813,126.8722422
1981-04-01,-0.0209,41.8076,-78.7005,110.3678,188.4589844,43.77188492,212.2782716,64.96785741,-188.4798844,60.52977224,-290.9787383,128.0698519
