module,block,key,value,note,verdict
gis,formulation,verdict,,"A DIFFERENT FORMULATION, JUSTIFIED BY A HINDCAST FEATURE THE OLD ONE CANNOT FIT","A DIFFERENT FORMULATION, JUSTIFIED BY A HINDCAST FEATURE THE OLD ONE CANNOT FIT"
gis,hindcast,hindcast/full/L14,0.0589610467498299,bias +0.0020 cm = +0.01 sd; cov90 57%; n=106,PASS
gis,hindcast,hindcast/full/BRICK 2.0,0.7230147179026976,bias -0.5975 cm = -3.26 sd; cov90 22%; n=106,FAIL
gis,hindcast,hindcast/1920-1949/L14,0.080492771862299,bias +0.0266 cm = +0.15 sd; cov90 60%; n=30,PASS
gis,hindcast,hindcast/1920-1949/BRICK 2.0,0.7876326016987747,bias -0.7371 cm = -4.02 sd; cov90 27%; n=30,FAIL
gis,hindcast,hindcast/1950-1992/L14,0.0494066908783976,bias -0.0149 cm = -0.08 sd; cov90 60%; n=43,PASS
gis,hindcast,hindcast/1950-1992/BRICK 2.0,0.913244316212648,bias -0.8659 cm = -4.73 sd; cov90 0%; n=43,FAIL
gis,hindcast,hindcast/1993-2026/L14,0.0457802512905622,bias +0.0017 cm = +0.01 sd; cov90 48%; n=33,PASS
gis,hindcast,hindcast/1993-2026/BRICK 2.0,0.1685880472577014,bias -0.1209 cm = -0.66 sd; cov90 45%; n=33,PASS
gis,hindcast_ratio,rmse_ratio/full/L14 vs BRICK 2.0,0.0815488886877194,<1 means the candidate is closer to the observations,BETTER
gis,hindcast_ratio,rmse_ratio/1920-1949/L14 vs BRICK 2.0,0.1021958355820865,<1 means the candidate is closer to the observations,BETTER
gis,hindcast_ratio,rmse_ratio/1950-1992/L14 vs BRICK 2.0,0.0541001898410866,<1 means the candidate is closer to the observations,BETTER
gis,hindcast_ratio,rmse_ratio/1993-2026/L14 vs BRICK 2.0,0.2715509909227619,<1 means the candidate is closer to the observations,BETTER
gis,hindcast,worst_sigma_ours,0.4394245659106755,max |RMSE| in target sigma across windows,
gis,hindcast,worst_sigma_brick20,4.9855655102628536,max |RMSE| in target sigma,
gis,rate,rate/1993-2026/obs/observations,0.0659600233130607,"se: estimator 0.01044, band-correlated 0.0006502, band-independent 0.003349; CONSERVATIVE 0.01044 cm/yr; |obs|/se = 6.32",
gis,rate,rate/1993-2026/L14,0.0657769705267076,1.00x obs; z=-0.02 vs the obs error bar,UNRESOLVED
gis,rate,rate/1993-2026/BRICK 2.0,0.0585290295659806,0.89x obs; z=-0.71 vs the obs error bar,UNRESOLVED
gis,rate,accel/1900-2026/obs/observations,-0.0002782475046792,"se: estimator 0.0005241, band-correlated 6.83e-05, band-independent 2.759e-05; CONSERVATIVE 0.0005241 cm/yr2; |obs|/se = 0.53",
gis,rate,accel/1900-2026/L14,-0.0002502700610752,ratio NOT INTERPRETABLE (obs is 0.53 se from zero); z=+0.05 vs the obs error bar,UNRESOLVED
gis,rate,accel/1900-2026/BRICK 2.0,0.0001498691170389,ratio NOT INTERPRETABLE (obs is 0.53 se from zero); z=+0.82 vs the obs error bar,UNRESOLVED
gis,projection,ssp126_2100_median_vs_lit,0.9764678799113756,"ours 6.25 cm vs lit 5.46-7.67 (median 6.40), n_lit=3 [1 SEJ comparator(s) excluded from the score; full range 5.46-13.05]",PASS
gis,projection,ssp126_2100_spread_vs_lit,0.4894718437750888,"ours 4.69 cm vs model-based lit 7.06-17.14 (median 9.57, n=3); ALL comparators 7.06-55.71",FAIL
gis,projection,ssp126_2150_median_vs_lit,0.6743699527870398,"ours 7.58 cm vs lit 9.31-13.18 (median 11.25), n_lit=2 [1 SEJ comparator(s) excluded from the score; full range 9.31-22.20] ⚠ n_lit=2 < 3: a median of so few is not a summary; verdict CAPPED at WARN",WARN
gis,projection,ssp126_2150_spread_vs_lit,0.514983681405023,"ours 6.90 cm vs model-based lit 11.12-15.69 (median 13.40, n=2); ALL comparators 11.12-86.94; ⚠ n=2 < 3 comparators WITH A BAND, so this median is not a summary",PASS
gis,projection,ssp126_2300_median_vs_lit,0.6320350118331474,"ours 9.47 cm vs lit 14.98-14.98 (median 14.98), n_lit=1 ⚠ n_lit=1 < 3: a median of so few is not a summary; verdict CAPPED at WARN",WARN
gis,projection,ssp126_2300_spread_vs_lit,0.3991862303644286,"ours 11.74 cm vs model-based lit 29.41-29.41 (median 29.41, n=1); ⚠ n=1 < 3 comparators WITH A BAND, so this median is not a summary; verdict CAPPED at WARN",WARN
gis,projection,ssp245_2100_median_vs_lit,0.8821373545063067,"ours 8.19 cm vs lit 7.97-10.21 (median 9.28), n_lit=3 [1 SEJ comparator(s) excluded from the score; full range 7.97-14.39]",PASS
gis,projection,ssp245_2100_spread_vs_lit,0.6866937044461274,"ours 5.73 cm vs model-based lit 7.85-16.85 (median 8.35, n=3); ALL comparators 7.85-72.68",PASS
gis,projection,ssp245_2150_median_vs_lit,0.6886913264035147,"ours 11.96 cm vs lit 16.53-18.19 (median 17.36), n_lit=2 [1 SEJ comparator(s) excluded from the score; full range 16.53-25.62] ⚠ n_lit=2 < 3: a median of so few is not a summary; verdict CAPPED at WARN",WARN
gis,projection,ssp245_2150_spread_vs_lit,0.7434342524409883,"ours 11.08 cm vs model-based lit 14.88-14.93 (median 14.91, n=2); ALL comparators 14.88-88.90; ⚠ n=2 < 3 comparators WITH A BAND, so this median is not a summary",PASS
gis,projection,ssp245_2300_median_vs_lit,0.4782996085045305,"ours 17.12 cm vs lit 35.79-35.79 (median 35.79), n_lit=1 ⚠ n_lit=1 < 3: a median of so few is not a summary; verdict CAPPED at WARN",WARN
gis,projection,ssp245_2300_spread_vs_lit,0.5121837673064854,"ours 20.95 cm vs model-based lit 40.91-40.91 (median 40.91, n=1); ⚠ n=1 < 3 comparators WITH A BAND, so this median is not a summary",PASS
gis,projection,ssp585_2100_median_vs_lit,0.9893935475761956,"ours 13.35 cm vs lit 12.72-14.02 (median 13.49), n_lit=3 [1 SEJ comparator(s) excluded from the score; full range 12.72-20.28]",PASS
gis,projection,ssp585_2100_spread_vs_lit,0.9220719169378134,"ours 11.21 cm vs model-based lit 11.46-17.10 (median 12.15, n=3); ALL comparators 11.46-93.18",PASS
gis,projection,ssp585_2150_median_vs_lit,0.9037313701420788,"ours 26.99 cm vs lit 27.33-32.40 (median 29.87), n_lit=2 [1 SEJ comparator(s) excluded from the score; full range 27.33-38.13] ⚠ n_lit=2 < 3: a median of so few is not a summary; verdict CAPPED at WARN",WARN
gis,projection,ssp585_2150_spread_vs_lit,0.4637573965461515,"ours 26.88 cm vs model-based lit 24.97-90.97 (median 57.97, n=2); ALL comparators 24.97-121.86; ⚠ n=2 < 3 comparators WITH A BAND, so this median is not a summary; verdict CAPPED at WARN",WARN
gis,projection,ssp585_2300_median_vs_lit,0.4201861233427386,"ours 47.48 cm vs lit 113.01-113.01 (median 113.01), n_lit=1 ⚠ n_lit=1 < 3: a median of so few is not a summary; verdict CAPPED at WARN",WARN
gis,projection,ssp585_2300_spread_vs_lit,0.0892815357315009,"ours 60.73 cm vs model-based lit 680.24-680.24 (median 680.24, n=1); ⚠ n=1 < 3 comparators WITH A BAND, so this median is not a summary; verdict CAPPED at WARN",WARN
gis,separation,2100,2.1356478188043364,FACTS 1.55-2.33 (n=3); MAGICC-SLR 2.11-2.11 (n=1),PASS
gis,separation,2150,3.5589840203711005,FACTS 1.72-2.07 (n=2); MAGICC-SLR 3.48-3.48 (n=1); 0.08 outside the bracket = 5% of its own range,PASS(edge)
gis,separation,2300,5.015867798415793,MAGICC-SLR 7.54-7.54 (n=1)  [NO UPPER COMPARATOR AT THIS HORIZON],WARN
gis,priority,addressable_ssp585_2300,0.088,share of the non-forcing spread,
gis,priority,addressable_ssp126_2100,0.154,share of the non-forcing spread,
