draw,config,component,horizon,arm,value_cm
1,m0095,glaciers,2100,fixed,11.75346759643315
2,m0276,glaciers,2100,fixed,9.017052089982919
3,m0047,glaciers,2100,fixed,10.545513913502672
4,m0569,glaciers,2100,fixed,11.565298331569958
5,m0529,glaciers,2100,fixed,13.705343422918748
6,m0428,glaciers,2100,fixed,13.943224776696635
7,m0335,glaciers,2100,fixed,9.185843131554064
8,m0349,glaciers,2100,fixed,9.739526983230743
9,m0496,glaciers,2100,fixed,9.186384361713792
10,m0287,glaciers,2100,fixed,8.435644334182179
11,m0147,glaciers,2100,fixed,9.810209597817924
12,m0237,glaciers,2100,fixed,9.149279654935924
13,m0224,glaciers,2100,fixed,10.11337195965945
14,m0000,glaciers,2100,fixed,10.498271217015883
15,m0295,glaciers,2100,fixed,10.307906301053432
16,m0160,glaciers,2100,fixed,13.716836530014616
17,m0226,glaciers,2100,fixed,13.191740607404785
18,m0152,glaciers,2100,fixed,13.748891860743832
19,m0460,glaciers,2100,fixed,11.05177214818213
20,m0509,glaciers,2100,fixed,11.896512026332918
21,m0114,glaciers,2100,fixed,11.53208288839837
22,m0339,glaciers,2100,fixed,11.477638588481545
23,m0197,glaciers,2100,fixed,11.195551678114647
24,m0599,glaciers,2100,fixed,11.329418860304404
25,m0306,glaciers,2100,fixed,13.207172837020067
26,m0371,glaciers,2100,fixed,11.967668129359971
27,m0514,glaciers,2100,fixed,12.551735768314117
28,m0268,glaciers,2100,fixed,8.278219425833235
29,m0024,glaciers,2100,fixed,9.827292936867687
30,m0481,glaciers,2100,fixed,9.375120482271573
31,m0155,glaciers,2100,fixed,9.740988734135886
32,m0461,glaciers,2100,fixed,10.053162090961013
33,m0540,glaciers,2100,fixed,11.82263829725892
34,m0022,glaciers,2100,fixed,13.054141507831785
35,m0100,glaciers,2100,fixed,12.553281094624442
36,m0429,glaciers,2100,fixed,15.158962842740701
37,m0069,glaciers,2100,fixed,13.303342956502446
38,m0574,glaciers,2100,fixed,9.402950255540041
39,m0513,glaciers,2100,fixed,12.324196453663955
40,m0336,glaciers,2100,fixed,12.700504943181574
41,m0085,glaciers,2100,fixed,11.784750799266842
42,m0165,glaciers,2100,fixed,11.65063192559316
43,m0264,glaciers,2100,fixed,9.577648129333689
44,m0082,glaciers,2100,fixed,8.952945929541562
45,m0102,glaciers,2100,fixed,14.246680825162438
46,m0406,glaciers,2100,fixed,13.431263680749439
47,m0557,glaciers,2100,fixed,13.196477748000556
48,m0126,glaciers,2100,fixed,12.6992567816386
49,m0131,glaciers,2100,fixed,10.019214262614485
50,m0596,glaciers,2100,fixed,11.576465943840212
51,m0342,glaciers,2100,fixed,10.900284231051533
52,m0397,glaciers,2100,fixed,7.737021789607996
53,m0380,glaciers,2100,fixed,10.598175454224084
54,m0123,glaciers,2100,fixed,12.560019868108586
55,m0347,glaciers,2100,fixed,10.273988831483354
56,m0420,glaciers,2100,fixed,12.778848001864741
57,m0127,glaciers,2100,fixed,9.94036636051825
58,m0532,glaciers,2100,fixed,9.21750149978082
59,m0598,glaciers,2100,fixed,11.32521532828242
60,m0180,glaciers,2100,fixed,8.609826084122792
61,m0597,glaciers,2100,fixed,14.112800897971969
62,m0340,glaciers,2100,fixed,8.867965402848231
63,m0434,glaciers,2100,fixed,12.673020375579165
64,m0361,glaciers,2100,fixed,9.140096558583544
65,m0181,glaciers,2100,fixed,10.548904681099167
66,m0046,glaciers,2100,fixed,11.176220034144475
67,m0408,glaciers,2100,fixed,10.980031205673912
68,m0356,glaciers,2100,fixed,8.292751685246122
69,m0151,glaciers,2100,fixed,10.19141127605337
70,m0049,glaciers,2100,fixed,11.266692120333222
71,m0318,glaciers,2100,fixed,12.434906364357134
72,m0241,glaciers,2100,fixed,9.466936338746269
73,m0222,glaciers,2100,fixed,12.723279224884763
74,m0231,glaciers,2100,fixed,13.34651581669982
75,m0338,glaciers,2100,fixed,10.390987517501785
76,m0571,glaciers,2100,fixed,10.973844826091398
77,m0360,glaciers,2100,fixed,13.767987710974035
78,m0572,glaciers,2100,fixed,10.140237327088709
79,m0059,glaciers,2100,fixed,14.03441310725288
80,m0331,glaciers,2100,fixed,12.288483713500357
81,m0564,glaciers,2100,fixed,11.81667610620974
82,m0524,glaciers,2100,fixed,17.58871956749526
83,m0549,glaciers,2100,fixed,14.836346352366341
84,m0040,glaciers,2100,fixed,13.506344746732253
85,m0299,glaciers,2100,fixed,14.02340779294506
86,m0252,glaciers,2100,fixed,11.471619786400694
87,m0432,glaciers,2100,fixed,12.731950188486461
