block,component,scenario,horizon,metric,arm,value,unit,value_sigma,note,verdict
H,ais,,,hindcast/full,L34,0.12245579348992679,cm,0.7313229369288857,bias -0.0093 cm = -0.06 sd; cov90 65%; n=126,PASS
H,ais,,,hindcast/full,L27*,0.11779245591006257,cm,0.7034728398644485,bias -0.0067 cm = -0.04 sd; cov90 64%; n=126,PASS
H,ais,,,hindcast/full,BRICK 2.0,1.4765841823263115,cm,8.818364979444151,bias -1.0797 cm = -6.45 sd; cov90 32%; n=126,FAIL
H,ais,,,hindcast/1920-1949,L34,0.012483242731982095,cm,0.07455165228993667,bias +0.0091 cm = +0.05 sd; cov90 100%; n=30,PASS
H,ais,,,hindcast/1920-1949,L27*,0.01288202194810127,cm,0.07693321692813783,bias +0.0120 cm = +0.07 sd; cov90 100%; n=30,PASS
H,ais,,,hindcast/1920-1949,BRICK 2.0,1.8243334045678734,cm,10.895171435688747,bias -1.7965 cm = -10.73 sd; cov90 0%; n=30,FAIL
H,ais,,,hindcast/1950-1992,L34,0.056705738512847326,cm,0.33865451399282526,bias +0.0484 cm = +0.29 sd; cov90 74%; n=43,PASS
H,ais,,,hindcast/1950-1992,L27*,0.06220234529228027,cm,0.37148100997571065,bias +0.0554 cm = +0.33 sd; cov90 70%; n=43,PASS
H,ais,,,hindcast/1950-1992,BRICK 2.0,0.6899485978891496,cm,4.120468460969681,bias -0.5807 cm = -3.47 sd; cov90 16%; n=43,FAIL
H,ais,,,hindcast/1993-2026,L34,0.22157986005997884,cm,1.3233055734246266,bias -0.1527 cm = -0.91 sd; cov90 0%; n=33,PASS
H,ais,,,hindcast/1993-2026,L27*,0.21269491517724576,cm,1.2702434536105394,bias -0.1459 cm = -0.87 sd; cov90 3%; n=33,PASS
H,ais,,,hindcast/1993-2026,BRICK 2.0,0.09580751152850316,cm,0.5721757110384218,bias -0.0564 cm = -0.34 sd; cov90 100%; n=33,PASS
H,glaciers,,,hindcast/full,L34,0.3145110918116247,cm,0.6847799645429263,bias +0.0574 cm = +0.12 sd; cov90 70%; n=124,PASS
H,glaciers,,,hindcast/full,L27*,0.317564327532296,cm,0.6914277257919789,bias +0.0609 cm = +0.13 sd; cov90 69%; n=124,PASS
H,glaciers,,,hindcast/full,BRICK 2.0,1.547304984121353,cm,3.368922367921877,bias +0.9394 cm = +2.05 sd; cov90 42%; n=124,WARN
H,glaciers,,,hindcast/1920-1949,L34,0.17984554218975093,cm,0.39157481949051276,bias -0.0059 cm = -0.01 sd; cov90 100%; n=30,PASS
H,glaciers,,,hindcast/1920-1949,L27*,0.18170613483998693,cm,0.3956258580777959,bias +0.0017 cm = +0.00 sd; cov90 100%; n=30,PASS
H,glaciers,,,hindcast/1920-1949,BRICK 2.0,1.5931687653853328,cm,3.4687808445398125,bias +1.4701 cm = +3.20 sd; cov90 0%; n=30,FAIL
H,glaciers,,,hindcast/1950-1992,L34,0.23016257890085812,cm,0.5011292978921027,bias -0.1157 cm = -0.25 sd; cov90 58%; n=43,PASS
H,glaciers,,,hindcast/1950-1992,L27*,0.22890217470499724,cm,0.4983850400168723,bias -0.1153 cm = -0.25 sd; cov90 56%; n=43,PASS
H,glaciers,,,hindcast/1950-1992,BRICK 2.0,0.12690481624651156,cm,0.27630782453186853,bias +0.0552 cm = +0.12 sd; cov90 95%; n=43,PASS
H,glaciers,,,hindcast/1993-2026,L34,0.04847626821667386,cm,0.10554660263133006,bias -0.0231 cm = -0.05 sd; cov90 39%; n=31,PASS
H,glaciers,,,hindcast/1993-2026,L27*,0.04825470808029989,cm,0.10506420329381747,bias -0.0232 cm = -0.05 sd; cov90 39%; n=31,PASS
H,glaciers,,,hindcast/1993-2026,BRICK 2.0,0.20876086964986165,cm,0.45453169900413337,bias +0.1414 cm = +0.31 sd; cov90 35%; n=31,PASS
H,gis,,,hindcast/full,L34,0.19826155462868056,cm,1.0823456015221296,bias -0.1434 cm = -0.78 sd; cov90 35%; n=126,PASS
H,gis,,,hindcast/full,L27*,0.19594511825854183,cm,1.0696997573940474,bias -0.1422 cm = -0.78 sd; cov90 35%; n=126,PASS
H,gis,,,hindcast/full,BRICK 2.0,0.703015155566193,cm,3.8378865880253317,bias -0.5958 cm = -3.25 sd; cov90 19%; n=126,FAIL
H,gis,,,hindcast/1920-1949,L34,0.20352318796588129,cm,1.1110698073320118,bias -0.1556 cm = -0.85 sd; cov90 60%; n=30,PASS
H,gis,,,hindcast/1920-1949,L27*,0.19942841592983782,cm,1.0887157079164798,bias -0.1521 cm = -0.83 sd; cov90 60%; n=30,PASS
H,gis,,,hindcast/1920-1949,BRICK 2.0,0.7952014328481865,cm,4.341148110027093,bias -0.7459 cm = -4.07 sd; cov90 27%; n=30,FAIL
H,gis,,,hindcast/1950-1992,L34,0.2699475826898759,cm,1.4736925639119962,bias -0.2516 cm = -1.37 sd; cov90 0%; n=43,WARN
H,gis,,,hindcast/1950-1992,L27*,0.26710491756816535,cm,1.458173942075069,bias -0.2489 cm = -1.36 sd; cov90 0%; n=43,WARN
H,gis,,,hindcast/1950-1992,BRICK 2.0,0.9104473318698599,cm,4.970296268040817,bias -0.8614 cm = -4.70 sd; cov90 0%; n=43,FAIL
H,gis,,,hindcast/1993-2026,L34,0.12393249733863661,cm,0.6765698656572623,bias -0.0843 cm = -0.46 sd; cov90 18%; n=33,PASS
H,gis,,,hindcast/1993-2026,L27*,0.12439663249875345,cm,0.6791036632460338,bias -0.0846 cm = -0.46 sd; cov90 18%; n=33,PASS
H,gis,,,hindcast/1993-2026,BRICK 2.0,0.1744871013354465,cm,0.9525565710733451,bias -0.1258 cm = -0.69 sd; cov90 45%; n=33,PASS
H,te,,,hindcast/full,L34,0.46423713841600406,cm,1.5019582109353578,bias +0.2613 cm = +0.85 sd; cov90 40%; n=126,PASS
H,te,,,hindcast/full,L27*,0.466615964956253,cm,1.5096544888908627,bias +0.2647 cm = +0.86 sd; cov90 41%; n=126,PASS
H,te,,,hindcast/full,BRICK 2.0,0.5357343917775332,cm,1.733275091596994,bias +0.3440 cm = +1.11 sd; cov90 91%; n=126,WARN
H,te,,,hindcast/1920-1949,L34,0.6119603527071072,cm,1.9798908800176487,bias +0.4894 cm = +1.58 sd; cov90 37%; n=30,WARN
H,te,,,hindcast/1920-1949,L27*,0.6175514416054569,cm,1.9979798720091098,bias +0.4961 cm = +1.60 sd; cov90 37%; n=30,WARN
H,te,,,hindcast/1920-1949,BRICK 2.0,0.7537980525331806,cm,2.4387819945907676,bias +0.6519 cm = +2.11 sd; cov90 90%; n=30,WARN
H,te,,,hindcast/1950-1992,L34,0.196404169686904,cm,0.6354314011362975,bias -0.0580 cm = -0.19 sd; cov90 70%; n=43,PASS
H,te,,,hindcast/1950-1992,L27*,0.195330042682124,cm,0.6319562507424248,bias -0.0541 cm = -0.18 sd; cov90 72%; n=43,PASS
H,te,,,hindcast/1950-1992,BRICK 2.0,0.19482494303489659,cm,0.6303220890183493,bias +0.0381 cm = +0.12 sd; cov90 100%; n=43,PASS
H,te,,,hindcast/1993-2026,L34,0.3800924934214493,cm,1.229722902732675,bias +0.2479 cm = +0.80 sd; cov90 18%; n=33,PASS
H,te,,,hindcast/1993-2026,L27*,0.3760651451007294,cm,1.2166931203692022,bias +0.2451 cm = +0.79 sd; cov90 18%; n=33,PASS
H,te,,,hindcast/1993-2026,BRICK 2.0,0.28297857149722266,cm,0.9155277633090795,bias +0.1779 cm = +0.58 sd; cov90 85%; n=33,PASS
H,total,,,hindcast/full,L34,0.4072874589040567,cm,0.26481500820787307,bias +0.1781 cm = +0.12 sd; cov90 83%; n=125,PASS
H,total,,,hindcast/full,L27*,0.4025511398326203,cm,0.2617354918948677,bias +0.1831 cm = +0.12 sd; cov90 82%; n=125,PASS
H,total,,,hindcast/full,BRICK 2.0,0.7376607247515203,cm,0.47962103082019003,bias -0.3148 cm = -0.20 sd; cov90 47%; n=125,PASS
H,total,,,hindcast/1920-1949,L34,0.43189912130522595,cm,0.2808173118346841,bias +0.2001 cm = +0.13 sd; cov90 100%; n=30,PASS
H,total,,,hindcast/1920-1949,L27*,0.4308284329982715,cm,0.28012115896624773,bias +0.2106 cm = +0.14 sd; cov90 100%; n=30,PASS
H,total,,,hindcast/1920-1949,BRICK 2.0,0.765056378197481,cm,0.4974334628839553,bias -0.4210 cm = -0.27 sd; cov90 63%; n=30,PASS
H,total,,,hindcast/1950-1992,L34,0.2165204822222425,cm,0.14077986449949265,bias +0.0023 cm = +0.00 sd; cov90 91%; n=43,PASS
H,total,,,hindcast/1950-1992,L27*,0.21409349843874523,cm,0.13920185929335002,bias +0.0136 cm = +0.01 sd; cov90 88%; n=43,PASS
H,total,,,hindcast/1950-1992,BRICK 2.0,0.9965689842388916,cm,0.6479610849080951,bias -0.9052 cm = -0.59 sd; cov90 9%; n=43,PASS
H,total,,,hindcast/1993-2026,L34,0.2700778659822156,cm,0.17560244179699416,bias +0.0723 cm = +0.05 sd; cov90 47%; n=32,PASS
H,total,,,hindcast/1993-2026,L27*,0.27102633242591817,cm,0.17621912699950404,bias +0.0754 cm = +0.05 sd; cov90 44%; n=32,PASS
H,total,,,hindcast/1993-2026,BRICK 2.0,0.4002366850022168,cm,0.26023065210294466,bias +0.2089 cm = +0.14 sd; cov90 50%; n=32,PASS
H,ais,,,rmse_ratio/full,L34 vs L27*,1.0395894418181142,ratio,,<1 means the candidate is closer to the observations,WORSE
H,ais,,,rmse_ratio/full,L34 vs BRICK 2.0,0.08293180636474215,ratio,,<1 means the candidate is closer to the observations,BETTER
H,ais,,,rmse_ratio/1920-1949,L34 vs L27*,0.9690437403595673,ratio,,<1 means the candidate is closer to the observations,BETTER
H,ais,,,rmse_ratio/1920-1949,L34 vs BRICK 2.0,0.006842632328458064,ratio,,<1 means the candidate is closer to the observations,BETTER
H,ais,,,rmse_ratio/1950-1992,L34 vs L27*,0.9116334480057763,ratio,,<1 means the candidate is closer to the observations,BETTER
H,ais,,,rmse_ratio/1950-1992,L34 vs BRICK 2.0,0.08218835241688241,ratio,,<1 means the candidate is closer to the observations,BETTER
H,ais,,,rmse_ratio/1993-2026,L34 vs L27*,1.0417731889609536,ratio,,<1 means the candidate is closer to the observations,WORSE
H,ais,,,rmse_ratio/1993-2026,L34 vs BRICK 2.0,2.312760831848324,ratio,,<1 means the candidate is closer to the observations,WORSE
H,glaciers,,,rmse_ratio/full,L34 vs L27*,0.9903854575090433,ratio,,<1 means the candidate is closer to the observations,SAME
H,glaciers,,,rmse_ratio/full,L34 vs BRICK 2.0,0.20326380063347485,ratio,,<1 means the candidate is closer to the observations,BETTER
H,glaciers,,,rmse_ratio/1920-1949,L34 vs L27*,0.9897604302030063,ratio,,<1 means the candidate is closer to the observations,SAME
H,glaciers,,,rmse_ratio/1920-1949,L34 vs BRICK 2.0,0.1128854306569665,ratio,,<1 means the candidate is closer to the observations,BETTER
H,glaciers,,,rmse_ratio/1950-1992,L34 vs L27*,1.0055063006609057,ratio,,<1 means the candidate is closer to the observations,SAME
H,glaciers,,,rmse_ratio/1950-1992,L34 vs BRICK 2.0,1.8136630721230407,ratio,,<1 means the candidate is closer to the observations,WORSE
H,glaciers,,,rmse_ratio/1993-2026,L34 vs L27*,1.004591471903742,ratio,,<1 means the candidate is closer to the observations,SAME
H,glaciers,,,rmse_ratio/1993-2026,L34 vs BRICK 2.0,0.23220955295874812,ratio,,<1 means the candidate is closer to the observations,BETTER
H,gis,,,rmse_ratio/full,L34 vs L27*,1.0118218631355862,ratio,,<1 means the candidate is closer to the observations,SAME
H,gis,,,rmse_ratio/full,L34 vs BRICK 2.0,0.28201604625295035,ratio,,<1 means the candidate is closer to the observations,BETTER
H,gis,,,rmse_ratio/1920-1949,L34 vs L27*,1.0205325405456966,ratio,,<1 means the candidate is closer to the observations,WORSE
