block,component,scenario,horizon,metric,arm,value,unit,value_sigma,note,verdict
H,ais,,,hindcast/full,L15,0.06312350630877624,cm,0.37698231098213175,bias -0.0445 cm = -0.27 sd; cov90 40%; n=106,PASS
H,ais,,,hindcast/full,L14*,0.030787014921306227,cm,0.18386431160053854,bias -0.0012 cm = -0.01 sd; cov90 83%; n=106,PASS
H,ais,,,hindcast/full,BRICK 2.0,1.1757511688158073,cm,7.021748611238046,bias -0.8211 cm = -4.90 sd; cov90 31%; n=106,FAIL
H,ais,,,hindcast/1920-1949,L15,0.039616346953802714,cm,0.23659430378058824,bias -0.0309 cm = -0.18 sd; cov90 90%; n=30,PASS
H,ais,,,hindcast/1920-1949,L14*,0.00581652865516331,cm,0.0347371136766589,bias -0.0045 cm = -0.03 sd; cov90 100%; n=30,PASS
H,ais,,,hindcast/1920-1949,BRICK 2.0,1.9842706854871703,cm,11.850339000022418,bias -1.9579 cm = -11.69 sd; cov90 0%; n=30,FAIL
H,ais,,,hindcast/1950-1992,L15,0.061132948544773656,cm,0.36509442467958036,bias -0.0570 cm = -0.34 sd; cov90 7%; n=43,PASS
H,ais,,,hindcast/1950-1992,L14*,0.006651151612525651,cm,0.03972159742390365,bias +0.0039 cm = +0.02 sd; cov90 98%; n=43,PASS
H,ais,,,hindcast/1950-1992,BRICK 2.0,0.8082294255445154,cm,4.826857924449145,bias -0.7053 cm = -4.21 sd; cov90 2%; n=43,FAIL
H,ais,,,hindcast/1993-2026,L15,0.08063766897039785,cm,0.48157931297371964,bias -0.0405 cm = -0.24 sd; cov90 36%; n=33,PASS
H,ais,,,hindcast/1993-2026,L14*,0.054370748644931625,cm,0.32470963152351384,bias -0.0047 cm = -0.03 sd; cov90 48%; n=33,PASS
H,ais,,,hindcast/1993-2026,BRICK 2.0,0.0991516712222806,cm,0.5921474952971527,bias +0.0615 cm = +0.37 sd; cov90 97%; n=33,PASS
H,glaciers,,,hindcast/full,L15,0.3355915589695809,cm,0.7306781281651483,bias +0.1724 cm = +0.38 sd; cov90 52%; n=104,PASS
H,glaciers,,,hindcast/full,L14*,0.3307844777177898,cm,0.720211747122129,bias +0.1671 cm = +0.36 sd; cov90 54%; n=104,PASS
H,glaciers,,,hindcast/full,BRICK 2.0,0.8940588962628659,cm,1.9466201199952224,bias +0.5000 cm = +1.09 sd; cov90 47%; n=104,WARN
H,glaciers,,,hindcast/1920-1949,L15,0.597428197706168,cm,1.300770849402053,bias +0.5346 cm = +1.16 sd; cov90 20%; n=30,WARN
H,glaciers,,,hindcast/1920-1949,L14*,0.5887925110802121,cm,1.2819685071779265,bias +0.5246 cm = +1.14 sd; cov90 23%; n=30,WARN
H,glaciers,,,hindcast/1920-1949,BRICK 2.0,1.6382486441740043,cm,3.5669325428493757,bias +1.5142 cm = +3.30 sd; cov90 0%; n=30,FAIL
H,glaciers,,,hindcast/1950-1992,L15,0.13514671655756116,cm,0.2942527821174893,bias +0.0796 cm = +0.17 sd; cov90 56%; n=43,PASS
H,glaciers,,,hindcast/1950-1992,L14*,0.1326240912118885,cm,0.2887603103422825,bias +0.0743 cm = +0.16 sd; cov90 56%; n=43,PASS
H,glaciers,,,hindcast/1950-1992,BRICK 2.0,0.13114982071295883,cm,0.28555040478960836,bias +0.0341 cm = +0.07 sd; cov90 95%; n=43,PASS
H,glaciers,,,hindcast/1993-2026,L15,0.0841778791906755,cm,0.18327914858409758,bias -0.0495 cm = -0.11 sd; cov90 77%; n=31,PASS
H,glaciers,,,hindcast/1993-2026,L14*,0.08479167793812631,cm,0.18461556276934862,bias -0.0502 cm = -0.11 sd; cov90 81%; n=31,PASS
H,glaciers,,,hindcast/1993-2026,BRICK 2.0,0.24600850950039985,cm,0.5356303888762102,bias +0.1647 cm = +0.36 sd; cov90 26%; n=31,PASS
H,gis,,,hindcast/full,L15,0.05845268451252418,cm,0.31910375210050523,bias +0.0014 cm = +0.01 sd; cov90 53%; n=106,PASS
H,gis,,,hindcast/full,L14*,0.058961046749829986,cm,0.3218789932840942,bias +0.0020 cm = +0.01 sd; cov90 57%; n=106,PASS
H,gis,,,hindcast/full,BRICK 2.0,0.7230147179026976,cm,3.9470678075906904,bias -0.5975 cm = -3.26 sd; cov90 22%; n=106,FAIL
H,gis,,,hindcast/1920-1949,L15,0.07965879379345281,cm,0.43487172914778305,bias +0.0233 cm = +0.13 sd; cov90 53%; n=30,PASS
H,gis,,,hindcast/1920-1949,L14*,0.08049277186229907,cm,0.4394245659106755,bias +0.0266 cm = +0.15 sd; cov90 60%; n=30,PASS
H,gis,,,hindcast/1920-1949,BRICK 2.0,0.7876326016987747,cm,4.299828495043884,bias -0.7371 cm = -4.02 sd; cov90 27%; n=30,FAIL
H,gis,,,hindcast/1950-1992,L15,0.04891252528866415,cm,0.267022301447581,bias -0.0143 cm = -0.08 sd; cov90 58%; n=43,PASS
H,gis,,,hindcast/1950-1992,L14*,0.0494066908783976,cm,0.2697200405703943,bias -0.0149 cm = -0.08 sd; cov90 60%; n=43,PASS
H,gis,,,hindcast/1950-1992,BRICK 2.0,0.9132443162126479,cm,4.9855655102628536,bias -0.8659 cm = -4.73 sd; cov90 0%; n=43,FAIL
H,gis,,,hindcast/1993-2026,L15,0.04570376192282617,cm,0.2495050832362915,bias +0.0020 cm = +0.01 sd; cov90 45%; n=33,PASS
H,gis,,,hindcast/1993-2026,L14*,0.04578025129056223,cm,0.2499226524966929,bias +0.0017 cm = +0.01 sd; cov90 48%; n=33,PASS
H,gis,,,hindcast/1993-2026,BRICK 2.0,0.1685880472577014,cm,0.9203525704230598,bias -0.1209 cm = -0.66 sd; cov90 45%; n=33,PASS
