draw,config,component,horizon,arm,value_cm
1,cfg_181524,glaciers,2100,fixed,11.75346759643315
2,cfg_553480,glaciers,2100,fixed,9.017052089982919
3,cfg_103063,glaciers,2100,fixed,10.545513913502672
4,cfg_1592837,glaciers,2100,fixed,11.565298331569958
5,cfg_1031306,glaciers,2100,fixed,13.705343422918748
6,cfg_831286,glaciers,2100,fixed,13.943224776696635
7,cfg_1331166,glaciers,2100,fixed,9.185843131554064
8,cfg_702082,glaciers,2100,fixed,9.739526983230743
9,cfg_965336,glaciers,2100,fixed,9.186384361713792
10,cfg_1334716,glaciers,2100,fixed,8.435644334182179
11,cfg_281131,glaciers,2100,fixed,9.810209597817924
12,cfg_490187,glaciers,2100,fixed,9.149279654935924
13,cfg_452339,glaciers,2100,fixed,10.11337195965945
14,cfg_385,glaciers,2100,fixed,10.498271217015883
15,cfg_594371,glaciers,2100,fixed,10.307906301053432
16,cfg_302250,glaciers,2100,fixed,13.716836530014616
17,cfg_463509,glaciers,2100,fixed,13.191740607404785
18,cfg_293972,glaciers,2100,fixed,13.748891860743832
19,cfg_901977,glaciers,2100,fixed,11.05177214818213
20,cfg_993287,glaciers,2100,fixed,11.896512026332918
21,cfg_222232,glaciers,2100,fixed,11.53208288839837
22,cfg_685044,glaciers,2100,fixed,11.477638588481545
23,cfg_386203,glaciers,2100,fixed,11.195551678114647
24,cfg_1282494,glaciers,2100,fixed,11.329418860304404
25,cfg_1171958,glaciers,2100,fixed,13.207172837020067
26,cfg_1482237,glaciers,2100,fixed,11.967668129359971
27,cfg_999353,glaciers,2100,fixed,12.551735768314117
28,cfg_536706,glaciers,2100,fixed,8.278219425833235
29,cfg_57613,glaciers,2100,fixed,9.827292936867687
30,cfg_940684,glaciers,2100,fixed,9.375120482271573
31,cfg_1439245,glaciers,2100,fixed,9.740988734135886
32,cfg_903596,glaciers,2100,fixed,10.053162090961013
33,cfg_1387451,glaciers,2100,fixed,11.82263829725892
34,cfg_56597,glaciers,2100,fixed,13.054141507831785
35,cfg_1554955,glaciers,2100,fixed,12.553281094624442
36,cfg_831398,glaciers,2100,fixed,15.158962842740701
37,cfg_137014,glaciers,2100,fixed,13.303342956502446
38,cfg_1110908,glaciers,2100,fixed,9.402950255540041
39,cfg_1547606,glaciers,2100,fixed,12.324196453663955
40,cfg_1501254,glaciers,2100,fixed,12.700504943181574
41,cfg_1467155,glaciers,2100,fixed,11.784750799266842
42,cfg_315472,glaciers,2100,fixed,11.65063192559316
43,cfg_1478574,glaciers,2100,fixed,9.577648129333689
44,cfg_155731,glaciers,2100,fixed,8.952945929541562
45,cfg_192688,glaciers,2100,fixed,14.246680825162438
