draw,config,component,horizon,arm,value_cm
1,m0095,glaciers,2100,fixed,8.206499154102758
2,m0276,glaciers,2100,fixed,6.444567707854278
3,m0047,glaciers,2100,fixed,7.078254098717482
4,m0569,glaciers,2100,fixed,8.398014289208714
5,m0529,glaciers,2100,fixed,10.205022581141419
6,m0428,glaciers,2100,fixed,10.07910230830795
7,m0335,glaciers,2100,fixed,6.4576150043099805
8,m0349,glaciers,2100,fixed,7.057386975322178
9,m0496,glaciers,2100,fixed,6.281380261830463
10,m0287,glaciers,2100,fixed,5.968435584923055
11,m0147,glaciers,2100,fixed,6.7097869516641255
12,m0237,glaciers,2100,fixed,6.415822480986506
13,m0224,glaciers,2100,fixed,7.255401247649104
14,m0000,glaciers,2100,fixed,7.699714041275376
15,m0295,glaciers,2100,fixed,7.393933535961075
16,m0160,glaciers,2100,fixed,9.836233246685525
17,m0226,glaciers,2100,fixed,9.598518855465432
18,m0152,glaciers,2100,fixed,9.74859035274506
19,m0460,glaciers,2100,fixed,7.411951511067857
20,m0509,glaciers,2100,fixed,8.091161361962662
21,m0114,glaciers,2100,fixed,8.489005198824469
22,m0339,glaciers,2100,fixed,8.382713400684402
23,m0197,glaciers,2100,fixed,8.298234144121107
24,m0599,glaciers,2100,fixed,8.227435962915031
25,m0306,glaciers,2100,fixed,9.572862303702621
26,m0371,glaciers,2100,fixed,8.411417668688484
27,m0514,glaciers,2100,fixed,9.001471125545233
28,m0268,glaciers,2100,fixed,5.730833367670063
29,m0024,glaciers,2100,fixed,6.603223712294721
30,m0481,glaciers,2100,fixed,6.487945792679718
31,m0155,glaciers,2100,fixed,6.523792293321402
32,m0461,glaciers,2100,fixed,7.377566491016968
33,m0540,glaciers,2100,fixed,8.271300723123804
34,m0022,glaciers,2100,fixed,9.3279377306585
35,m0100,glaciers,2100,fixed,9.252112294154095
36,m0429,glaciers,2100,fixed,10.408084479484108
37,m0069,glaciers,2100,fixed,9.301734783753579
38,m0574,glaciers,2100,fixed,6.496871619328464
39,m0513,glaciers,2100,fixed,9.257842417332293
40,m0336,glaciers,2100,fixed,9.183713682319642
41,m0085,glaciers,2100,fixed,8.399034913384169
42,m0165,glaciers,2100,fixed,8.220857421208045
