draw,rep,rho,truth_G_on,truth_slope,ll_noramp,ll_best_ramp,best_G_on,best_slope,gain,detected,ll_at_truth,provenance
1,1,0.966,0.75,0.0006,258.198225309749,278.82177793392157,0.6,0.0006,20.62355262417259,true,278.058321797788,"diag_ais_ramp_objective_power.jl | tag L30 (3 draw(s)) | SYNTHETIC AIS record: model at the draw's own parameters WITH the truth ramp, years 1900-2025 | noise ~ MvNormal(ais_cov(sd_ais, rho=0.966, eps, L=100.0)), 200 reps, SEED 20260922 applied immediately before the rand() that draws them | likelihood = hetero_logl_ar1 re-implementation, AIS term only | all other parameters FIXED => power is an UPPER BOUND | detect = best ramp beats no-ramp by >= 2.0 log-units | cm SLE, rel 1995-2005 | 2026-09-22T14:00:08.645"
1,1,0.9,0.75,0.0006,255.25038222684213,278.9337157643113,0.6,0.0006,23.68333353746914,true,277.7254307723057,"diag_ais_ramp_objective_power.jl | tag L30 (3 draw(s)) | SYNTHETIC AIS record: model at the draw's own parameters WITH the truth ramp, years 1900-2025 | noise ~ MvNormal(ais_cov(sd_ais, rho=0.966, eps, L=100.0)), 200 reps, SEED 20260922 applied immediately before the rand() that draws them | likelihood = hetero_logl_ar1 re-implementation, AIS term only | all other parameters FIXED => power is an UPPER BOUND | detect = best ramp beats no-ramp by >= 2.0 log-units | cm SLE, rel 1995-2005 | 2026-09-22T14:00:08.645"
1,1,0.8,0.75,0.0006,254.34861533928276,278.23905740082336,0.6,0.0006,23.890442061540597,true,277.73639734740976,"diag_ais_ramp_objective_power.jl | tag L30 (3 draw(s)) | SYNTHETIC AIS record: model at the draw's own parameters WITH the truth ramp, years 1900-2025 | noise ~ MvNormal(ais_cov(sd_ais, rho=0.966, eps, L=100.0)), 200 reps, SEED 20260922 applied immediately before the rand() that draws them | likelihood = hetero_logl_ar1 re-implementation, AIS term only | all other parameters FIXED => power is an UPPER BOUND | detect = best ramp beats no-ramp by >= 2.0 log-units | cm SLE, rel 1995-2005 | 2026-09-22T14:00:08.645"
1,1,0.6,0.75,0.0006,254.25011102230673,277.435963804135,0.75,0.0006,23.18585278182826,true,277.435963804135,"diag_ais_ramp_objective_power.jl | tag L30 (3 draw(s)) | SYNTHETIC AIS record: model at the draw's own parameters WITH the truth ramp, years 1900-2025 | noise ~ MvNormal(ais_cov(sd_ais, rho=0.966, eps, L=100.0)), 200 reps, SEED 20260922 applied immediately before the rand() that draws them | likelihood = hetero_logl_ar1 re-implementation, AIS term only | all other parameters FIXED => power is an UPPER BOUND | detect = best ramp beats no-ramp by >= 2.0 log-units | cm SLE, rel 1995-2005 | 2026-09-22T14:00:08.645"
1,2,0.966,0.75,0.0006,285.70843804263006,293.86190546058896,0.6,0.0003,8.153467417958893,true,293.3612405481823,"diag_ais_ramp_objective_power.jl | tag L30 (3 draw(s)) | SYNTHETIC AIS record: model at the draw's own parameters WITH the truth ramp, years 1900-2025 | noise ~ MvNormal(ais_cov(sd_ais, rho=0.966, eps, L=100.0)), 200 reps, SEED 20260922 applied immediately before the rand() that draws them | likelihood = hetero_logl_ar1 re-implementation, AIS term only | all other parameters FIXED => power is an UPPER BOUND | detect = best ramp beats no-ramp by >= 2.0 log-units | cm SLE, rel 1995-2005 | 2026-09-22T14:00:08.645"
1,2,0.9,0.75,0.0006,285.15019840036246,294.3415891675728,0.6,0.0003,9.19139076721035,true,293.83452903871444,"diag_ais_ramp_objective_power.jl | tag L30 (3 draw(s)) | SYNTHETIC AIS record: model at the draw's own parameters WITH the truth ramp, years 1900-2025 | noise ~ MvNormal(ais_cov(sd_ais, rho=0.966, eps, L=100.0)), 200 reps, SEED 20260922 applied immediately before the rand() that draws them | likelihood = hetero_logl_ar1 re-implementation, AIS term only | all other parameters FIXED => power is an UPPER BOUND | detect = best ramp beats no-ramp by >= 2.0 log-units | cm SLE, rel 1995-2005 | 2026-09-22T14:00:08.645"
1,2,0.8,0.75,0.0006,284.42597604399776,294.61863480200606,0.6,0.0003,10.192658758008292,true,294.2314043615826,"diag_ais_ramp_objective_power.jl | tag L30 (3 draw(s)) | SYNTHETIC AIS record: model at the draw's own parameters WITH the truth ramp, years 1900-2025 | noise ~ MvNormal(ais_cov(sd_ais, rho=0.966, eps, L=100.0)), 200 reps, SEED 20260922 applied immediately before the rand() that draws them | likelihood = hetero_logl_ar1 re-implementation, AIS term only | all other parameters FIXED => power is an UPPER BOUND | detect = best ramp beats no-ramp by >= 2.0 log-units | cm SLE, rel 1995-2005 | 2026-09-22T14:00:08.645"
1,2,0.6,0.75,0.0006,283.33568594421297,294.6623822314523,0.6,0.0003,11.326696287239315,true,294.40791715671156,"diag_ais_ramp_objective_power.jl | tag L30 (3 draw(s)) | SYNTHETIC AIS record: model at the draw's own parameters WITH the truth ramp, years 1900-2025 | noise ~ MvNormal(ais_cov(sd_ais, rho=0.966, eps, L=100.0)), 200 reps, SEED 20260922 applied immediately before the rand() that draws them | likelihood = hetero_logl_ar1 re-implementation, AIS term only | all other parameters FIXED => power is an UPPER BOUND | detect = best ramp beats no-ramp by >= 2.0 log-units | cm SLE, rel 1995-2005 | 2026-09-22T14:00:08.645"
1,3,0.966,0.75,0.0006,292.1541888929004,296.5595741885592,0.75,0.0003,4.405385295658846,true,295.69671251674174,"diag_ais_ramp_objective_power.jl | tag L30 (3 draw(s)) | SYNTHETIC AIS record: model at the draw's own parameters WITH the truth ramp, years 1900-2025 | noise ~ MvNormal(ais_cov(sd_ais, rho=0.966, eps, L=100.0)), 200 reps, SEED 20260922 applied immediately before the rand() that draws them | likelihood = hetero_logl_ar1 re-implementation, AIS term only | all other parameters FIXED => power is an UPPER BOUND | detect = best ramp beats no-ramp by >= 2.0 log-units | cm SLE, rel 1995-2005 | 2026-09-22T14:00:08.645"
1,3,0.9,0.75,0.0006,292.1429281762575,297.2634200681153,0.75,0.0003,5.120491891857796,true,296.34735722489893,"diag_ais_ramp_objective_power.jl | tag L30 (3 draw(s)) | SYNTHETIC AIS record: model at the draw's own parameters WITH the truth ramp, years 1900-2025 | noise ~ MvNormal(ais_cov(sd_ais, rho=0.966, eps, L=100.0)), 200 reps, SEED 20260922 applied immediately before the rand() that draws them | likelihood = hetero_logl_ar1 re-implementation, AIS term only | all other parameters FIXED => power is an UPPER BOUND | detect = best ramp beats no-ramp by >= 2.0 log-units | cm SLE, rel 1995-2005 | 2026-09-22T14:00:08.645"
1,3,0.8,0.75,0.0006,291.78904302236754,297.7021110522598,0.75,0.0003,5.913068029892258,true,296.8804468996633,"diag_ais_ramp_objective_power.jl | tag L30 (3 draw(s)) | SYNTHETIC AIS record: model at the draw's own parameters WITH the truth ramp, years 1900-2025 | noise ~ MvNormal(ais_cov(sd_ais, rho=0.966, eps, L=100.0)), 200 reps, SEED 20260922 applied immediately before the rand() that draws them | likelihood = hetero_logl_ar1 re-implementation, AIS term only | all other parameters FIXED => power is an UPPER BOUND | detect = best ramp beats no-ramp by >= 2.0 log-units | cm SLE, rel 1995-2005 | 2026-09-22T14:00:08.645"
