draw,config,component,horizon,arm,value_cm
1,m0095,glaciers,2100,fixed,7.716129951780938
2,m0276,glaciers,2100,fixed,6.0934764879220165
3,m0047,glaciers,2100,fixed,6.616630220260367
4,m0569,glaciers,2100,fixed,7.956592663251737
5,m0529,glaciers,2100,fixed,9.699797086378503
6,m0428,glaciers,2100,fixed,9.520270382387618
7,m0335,glaciers,2100,fixed,6.103413294281012
8,m0349,glaciers,2100,fixed,6.687693887397437
9,m0496,glaciers,2100,fixed,5.887580154360459
10,m0287,glaciers,2100,fixed,5.637986852305746
11,m0147,glaciers,2100,fixed,6.283842853392726
12,m0237,glaciers,2100,fixed,6.042548134716595
13,m0224,glaciers,2100,fixed,6.855769794354746
14,m0000,glaciers,2100,fixed,7.298119931521152
15,m0295,glaciers,2100,fixed,6.987650517531689
16,m0160,glaciers,2100,fixed,9.284105380680666
17,m0226,glaciers,2100,fixed,9.08935254899372
18,m0152,glaciers,2100,fixed,9.184074026148265
19,m0460,glaciers,2100,fixed,6.917514664908056
20,m0509,glaciers,2100,fixed,7.56276421512784
21,m0114,glaciers,2100,fixed,8.057555548626357
22,m0339,glaciers,2100,fixed,7.943560077312428
23,m0197,glaciers,2100,fixed,7.891869521900701
24,m0599,glaciers,2100,fixed,7.786866297402447
25,m0306,glaciers,2100,fixed,9.0497455148879
26,m0371,glaciers,2100,fixed,7.912405655737167
27,m0514,glaciers,2100,fixed,8.498841667751037
28,m0268,glaciers,2100,fixed,5.38532819785437
29,m0024,glaciers,2100,fixed,6.169705132717409
30,m0481,glaciers,2100,fixed,6.08850909515913
31,m0155,glaciers,2100,fixed,6.083652391062869
32,m0461,glaciers,2100,fixed,6.990589387436837
33,m0540,glaciers,2100,fixed,7.764195791739465
34,m0022,glaciers,2100,fixed,8.77792729097469
35,m0100,glaciers,2100,fixed,8.77384417838418
36,m0429,glaciers,2100,fixed,9.740003233831045
37,m0069,glaciers,2100,fixed,8.730538082011732
38,m0574,glaciers,2100,fixed,6.083764204287353
39,m0513,glaciers,2100,fixed,8.80731158899202
40,m0336,glaciers,2100,fixed,8.680867031877881
41,m0085,glaciers,2100,fixed,7.916425504892002
42,m0165,glaciers,2100,fixed,7.744889308900651
43,m0264,glaciers,2100,fixed,6.318244633152364
44,m0082,glaciers,2100,fixed,5.219856305842324
45,m0102,glaciers,2100,fixed,9.58052748469238
46,m0406,glaciers,2100,fixed,8.95687940990738
47,m0557,glaciers,2100,fixed,9.172296011913774
48,m0126,glaciers,2100,fixed,8.964232362694514
49,m0131,glaciers,2100,fixed,6.407818072849414
50,m0596,glaciers,2100,fixed,7.727472138025569
51,m0342,glaciers,2100,fixed,7.077529333920111
52,m0397,glaciers,2100,fixed,5.072488273125198
53,m0380,glaciers,2100,fixed,7.419429126618089
54,m0123,glaciers,2100,fixed,8.394000469787557
55,m0347,glaciers,2100,fixed,6.586953599822545
56,m0420,glaciers,2100,fixed,8.535612433597954
57,m0127,glaciers,2100,fixed,6.377894095430881
58,m0532,glaciers,2100,fixed,5.913140439642097
59,m0598,glaciers,2100,fixed,7.681747591767284
60,m0180,glaciers,2100,fixed,5.437268360840575
61,m0597,glaciers,2100,fixed,10.167532243425228
62,m0340,glaciers,2100,fixed,6.37179298398119
63,m0434,glaciers,2100,fixed,8.63323990937951
64,m0361,glaciers,2100,fixed,5.698452001820865
65,m0181,glaciers,2100,fixed,6.755935188557188
66,m0046,glaciers,2100,fixed,7.872547234188488
67,m0408,glaciers,2100,fixed,7.211607383505365
68,m0356,glaciers,2100,fixed,5.307213575866591
69,m0151,glaciers,2100,fixed,6.7365364599077715
70,m0049,glaciers,2100,fixed,7.174852100950046
71,m0318,glaciers,2100,fixed,8.391806103860851
72,m0241,glaciers,2100,fixed,6.723443186742198
73,m0222,glaciers,2100,fixed,9.094347294038279
74,m0231,glaciers,2100,fixed,9.313132516193445
75,m0338,glaciers,2100,fixed,7.391950494659714
76,m0571,glaciers,2100,fixed,7.3125956874920925
77,m0360,glaciers,2100,fixed,9.217313419889472
78,m0572,glaciers,2100,fixed,7.146041248260684
79,m0059,glaciers,2100,fixed,9.22897335044066
80,m0331,glaciers,2100,fixed,8.288891808322536
81,m0564,glaciers,2100,fixed,8.370416828098673
82,m0524,glaciers,2100,fixed,12.322623295727102
83,m0549,glaciers,2100,fixed,10.628015534227888
84,m0040,glaciers,2100,fixed,9.762322095568088
85,m0299,glaciers,2100,fixed,9.708288243467607
86,m0252,glaciers,2100,fixed,8.25883286518443
87,m0432,glaciers,2100,fixed,8.832330582446325
88,m0186,glaciers,2100,fixed,8.272136595888293
89,m0215,glaciers,2100,fixed,9.03527935167125
90,m0576,glaciers,2100,fixed,8.61138468545618
91,m0273,glaciers,2100,fixed,8.173663188080141
92,m0477,glaciers,2100,fixed,8.276248852685981
93,m0466,glaciers,2100,fixed,10.92240155897346
