name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
ais_ocean_temperature₀,1,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.5656928211064208,1.0261773794924207,1.6800169643900456,1.0589751976074115,"Initial high-latitude ocean subsurface temperature T_oc,0",°C
antarctic_alpha,2,antarctic_icesheet,0.29618737,0.23016505,1.0231069e-05,0.9999879,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.0789541722170678,0.3073342141878548,0.5846441735396455,0.3166380771564343,"Partition of ocean subsurface temperature into ice flux, α_DAIS",–
antarctic_nu,3,antarctic_icesheet,0.008766364,0.0034420667,0.0030000487,0.014999919,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.004903417909492825,0.0095485752284435,0.013805042866129389,0.009493187389968178,Runoff-decrease-with-height to precipitation constant ν,m⁻¹ᐟ² yr⁻¹ᐟ²
anto_alpha,4,antarctic_ocean,0.36223876,0.26114184,7.3700244e-07,0.9999599,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.07468181904882377,0.2855157412298075,0.6164003683664293,0.30657455730777344,Antarctic ocean temperature sensitivity a_ANTO,°C °C⁻¹
anto_beta,5,antarctic_ocean,0.9759287,0.5780004,2.5803324e-06,1.9999987,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.1436580573458219,0.8266917243195935,1.6423130457138049,0.8501971261827647,Antarctic ocean temperature offset b_ANTO,°C
gis_c1,6,greenland_icesheet,0.032766,0.05,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.01856978948062109,0.045737408323156245,0.08184131388638123,0.047319670195857276,Committed-loss sensitivity to regional temperature,m SLE K⁻¹
gis_c0,7,greenland_icesheet,0.040429,0.1,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.0705822856639601,0.1133254495578924,0.18339872011100933,0.11803956260725058,Committed loss at zero regional anomaly,m SLE
gis_f,8,greenland_icesheet,0.782569,0.3,0.02,0.98,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.3234641084050195,0.5853641725866559,0.7477801565920855,0.5675021229775422,Surface-mass-balance share of the committed loss,–
gis_alpha_f,9,greenland_icesheet,0.0028487,0.02,0.0,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.000589213252956555,0.00204405768042345,0.00480781318026342,0.0023012342430812653,"Fast (SMB) channel rate, temperature-dependent part",yr⁻¹ K⁻¹
gis_beta_f,10,greenland_icesheet,0.0073684,0.05,1e-06,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.0016814253458512052,0.00477631902306855,0.011090403671878597,0.0054633542098308134,"Fast (SMB) channel rate, constant part",yr⁻¹
gis_slow_ell,11,likelihood_only,-4.207448374546157,1.0,-8.207448374546157,-0.207448374546157,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,-6.493746359961108,-5.674009444589964,-4.9815432019452714,-5.69764410384356,Slow (discharge) channel: log rate at the reference temperature,ln(yr⁻¹)
gis_slow_w,12,likelihood_only,0.9328151097655012,1000.0,0.0,1.0,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.043125443166923294,0.43608692128001303,0.9267313451941974,0.4572811836764747,Slow (discharge) channel: temperature-dependent fraction of the rate,–
gis_amp,13,likelihood_only,1.9221976385152952,0.3181243343729514,1.5101657793813976,2.2846646737809513,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,1.5737761769854488,1.9091037039615308,2.2278121148963903,1.9042998930477577,Southern-Greenland/global warming ratio,–
gis_s_high,14,greenland_icesheet,0.0,0.5,-2.0,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,-0.7799610323116059,-0.5550799116726326,-0.3634745289924199,-0.562817709833352,log₁₀ rate scale of the high basin (NO+NE) relative to the active basin,log₁₀(–)
thermal_alpha,15,thermal_expansion,0.16,1000.0,0.05,0.3,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.14865932415392857,0.1668793943727796,0.1856624191946632,0.1670325801746931,Thermal expansion coefficient α,kg m⁻³ °C⁻¹
gic_a_R19,16,glaciers_small_icecaps,0.069,0.018,0.01,0.141,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.03874518712988654,0.0676925080702321,0.09619700950475057,0.06764915170648292,"Committed-loss scale a, RGI 19",m SLE
gic_b_R19,17,glaciers_small_icecaps,0.768973947986,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.19311459222622632,0.7291164648018895,2.462295758169484,0.9420040896230828,"Equilibrium temperature sensitivity b, RGI 19",K⁻¹ (glacier frame)
gic_T_off_R19,18,glaciers_small_icecaps,0.162195920935,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,-3.137076528897189,-0.14935024286546228,0.7097094467271493,-0.5406063545138668,"Equilibrium temperature offset T_off, RGI 19","K rel. 1850–1900, glacier frame"
gic_log10_kappa_R19,19,glaciers_small_icecaps,-2.7735015084073384,0.114,-3.906900780980522,-1.6567771449058029,"N(k10c(gic_amp_R19), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.774,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,-2.997444101369455,-2.7827637417999664,-2.5624621437857393,-2.781455310935824,"log₁₀ of the response-rate constant κ, RGI 19",log₁₀(yr⁻¹ K⁻ν)
gic_a_SLOWP,20,glaciers_small_icecaps,0.145920024267,0.0327892146787,0.0332566214715,0.2770768829818,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.08986057649984742,0.13064799803195049,0.1760038021692489,0.1315204552903768,"Committed-loss scale a, SLOWG",m SLE
gic_b_SLOWP,21,glaciers_small_icecaps,0.269493082055,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,0.11481241598434405,0.1712764120732462,0.2848256231903012,0.18190808166226724,"Equilibrium temperature sensitivity b, SLOWG",K⁻¹ (glacier frame)
gic_T_off_SLOWP,22,glaciers_small_icecaps,0.342896725929,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L29 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L29) | posterior parameters_subsample_brick_mengel_L29.csv n=10000 | quantiles 5/50/95 over all draws | commit a539557 | 2026-09-22 01:04,-3.8667321634175384,-2.76558451499654,-1.0371638369551879,-2.658842448818126,"Equilibrium temperature offset T_off, SLOWG","K rel. 1850–1900, glacier frame"
